รายงานยอดขายรายสินค้า · FoodStory

เดือน,รหัสสินค้า,ชื่อสินค้า,ช่องทางการขาย,จำนวนขาย (แก้ว),ยอดขายสุทธิ (บาท)
ม.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"39,013","2,808,936"
ม.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"83,698","6,026,256"
ม.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"32,676","2,352,672"
ม.ค. 69,M1,ชานมคามิเลีย,GRAB Delivery,"4,465","321,480"
ม.ค. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"10,502","756,144"
ม.ค. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"3,728","268,416"
ม.ค. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"3,517","253,224"
ม.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"8,258","594,576"
ม.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"2,805","201,960"
ม.ค. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,"1,114","80,208"
ม.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"2,325","167,400"
ม.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,848,"61,056"
ก.พ. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"41,556","2,992,032"
ก.พ. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"96,628","6,957,216"
ก.พ. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"31,830","2,291,760"
ก.พ. 69,M1,ชานมคามิเลีย,GRAB Delivery,"4,794","345,168"
ก.พ. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"11,168","804,096"
ก.พ. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"4,240","305,280"
ก.พ. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"3,980","286,560"
ก.พ. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"8,537","614,664"
ก.พ. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,360","241,920"
ก.พ. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,990,"71,280"
ก.พ. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"2,443","175,896"
ก.พ. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,821,"59,112"
มี.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"41,808","3,010,176"
มี.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"91,620","6,596,640"
มี.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"34,256","2,466,432"
มี.ค. 69,M1,ชานมคามิเลีย,GRAB Delivery,"5,456","392,832"
มี.ค. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"10,981","790,632"
มี.ค. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"4,227","304,344"
มี.ค. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"4,205","302,760"
มี.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"8,912","641,664"
มี.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,322","239,184"
มี.ค. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,929,"66,888"
มี.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"2,043","147,096"
มี.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,759,"54,648"
เม.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"160,347","11,544,984"
เม.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"100,174","7,212,528"
เม.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"35,842","2,580,624"
เม.ย. 69,M1,ชานมคามิเลีย,GRAB Delivery,"5,527","397,944"
เม.ย. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"11,938","859,536"
เม.ย. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"4,247","305,784"
เม.ย. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"4,490","323,280"
เม.ย. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"9,751","702,072"
เม.ย. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,326","239,472"
เม.ย. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,932,"67,104"
เม.ย. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"2,036","146,592"
เม.ย. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,776,"55,872"
พ.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"49,541","3,566,952"
พ.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"102,464","7,377,408"
พ.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"40,981","2,950,632"
พ.ค. 69,M1,ชานมคามิเลีย,GRAB Delivery,"5,395","388,440"
พ.ค. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"12,396","892,512"
พ.ค. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"4,724","340,128"
พ.ค. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"4,280","308,160"
พ.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"9,884","711,648"
พ.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,367","242,424"
พ.ค. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,875,"63,000"
พ.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"1,950","140,400"
พ.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,690,"49,680"
พ.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,GRAB Delivery,252,"18,144"
พ.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาแฟรนไชส์ JF,514,"37,008"
พ.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาบริษัท JC,197,"14,184"
มิ.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"50,660","3,647,520"
มิ.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"111,230","8,008,560"
มิ.ย. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"39,754","2,862,288"
มิ.ย. 69,M1,ชานมคามิเลีย,GRAB Delivery,"6,220","447,840"
มิ.ย. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"13,875","999,000"
มิ.ย. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"4,732","340,704"
มิ.ย. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"4,795","345,240"
มิ.ย. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"9,678","696,816"
มิ.ย. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,855","277,560"
มิ.ย. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,803,"57,816"
มิ.ย. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"1,852","133,344"
มิ.ย. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,658,"47,376"
มิ.ย. 69,NEW9,เมนูใหม่ ลิ้นจี่,GRAB Delivery,242,"17,424"
มิ.ย. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาแฟรนไชส์ JF,541,"38,952"
มิ.ย. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาบริษัท JC,204,"14,688"
ก.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,"48,524","3,493,728"
ก.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,"113,786","8,192,592"
ก.ค. 69,SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,"39,666","2,855,952"
ก.ค. 69,M1,ชานมคามิเลีย,GRAB Delivery,"5,843","420,696"
ก.ค. 69,M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,"12,746","917,712"
ก.ค. 69,M1,ชานมคามิเลีย,สาขาบริษัท JC,"5,125","369,000"
ก.ค. 69,C6,ชานมโมจิเผือกหอม,GRAB Delivery,"4,622","332,784"
ก.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,"10,346","744,912"
ก.ค. 69,C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,"3,840","276,480"
ก.ค. 69,F2,ชาใสหอมหมื่นลี้,GRAB Delivery,757,"54,504"
ก.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,"1,490","107,280"
ก.ค. 69,F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,571,"41,112"
ก.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,GRAB Delivery,261,"18,792"
ก.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาแฟรนไชส์ JF,602,"43,344"
ก.ค. 69,NEW9,เมนูใหม่ ลิ้นจี่,สาขาบริษัท JC,217,"15,624"
