รหัส,ชื่อเมนู,ช่องทาง,ม.ค. 69,ก.พ. 69,มี.ค. 69,เม.ย. 69,พ.ค. 69,มิ.ย. 69,ก.ค. 69
SM1,ชาองุ่นปั่นสด Grape Smoothie,GRAB Delivery,39013,41556,41808,160347,49541,50660,48524
SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาแฟรนไชส์ JF,83698,96628,91620,100174,102464,111230,113786
SM1,ชาองุ่นปั่นสด Grape Smoothie,สาขาบริษัท JC,32676,31830,34256,35842,40981,39754,39666
M1,ชานมคามิเลีย,GRAB Delivery,4465,4794,5456,5527,5395,6220,5843
M1,ชานมคามิเลีย,สาขาแฟรนไชส์ JF,10502,11168,10981,11938,12396,13875,12746
M1,ชานมคามิเลีย,สาขาบริษัท JC,3728,4240,4227,4247,4724,4732,5125
C6,ชานมโมจิเผือกหอม,GRAB Delivery,3517,3980,4205,4490,4280,4795,4622
C6,ชานมโมจิเผือกหอม,สาขาแฟรนไชส์ JF,8258,8537,8912,9751,9884,9678,10346
C6,ชานมโมจิเผือกหอม,สาขาบริษัท JC,2805,3360,3322,3326,3367,3855,3840
F2,ชาใสหอมหมื่นลี้,GRAB Delivery,1114,990,929,932,875,803,757
F2,ชาใสหอมหมื่นลี้,สาขาแฟรนไชส์ JF,2325,2443,2043,2036,1950,1852,1490
F2,ชาใสหอมหมื่นลี้,สาขาบริษัท JC,848,821,759,776,690,658,571
NEW9,เมนูใหม่ ลิ้นจี่,GRAB Delivery,,,,,252,242,261
NEW9,เมนูใหม่ ลิ้นจี่,สาขาแฟรนไชส์ JF,,,,,514,541,602
NEW9,เมนูใหม่ ลิ้นจี่,สาขาบริษัท JC,,,,,197,204,217
